id;region;cadena_productiva;tipo_empresa;tendencias;color_tendencias
71;Valparaíso;Servicios creativos;Empresa;Música;#96a5c3
84;Valparaíso;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
84;Valparaíso;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
84;Valparaíso;Contenidos creativos;Empresa;Nuevos medios;#070708
92;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
92;Valparaíso;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
92;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
103;Valparaíso;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
103;Valparaíso;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
103;Valparaíso;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
113;Valparaíso;Bienes creativos;Empresa;Computación o programación creativa;#705abb
113;Valparaíso;Bienes creativos;Empresa;Nuevos medios;#070708
114;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
114;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
114;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
117;Valparaíso;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
117;Valparaíso;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
117;Valparaíso;Servicios creativos;Profesional indep.;Nuevos medios;#070708
120;Valparaíso;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
126;Valparaíso;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
126;Valparaíso;Bienes creativos;Empresa;Nuevos medios;#070708
126;Valparaíso;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
129;Valparaíso;Bienes creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
129;Valparaíso;Bienes creativos;Profesional indep.;Data science;#737daa
129;Valparaíso;Bienes creativos;Profesional indep.;Juegos interactivos;#b7b7af
129;Valparaíso;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
131;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
135;Valparaíso;Servicios creativos;Empresa;Música;#96a5c3
135;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
2;RM;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
2;RM;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
3;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
3;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
3;RM;Servicios creativos;Empresa;Fintech;#544c7c
13;RM;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
13;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
14;RM;Servicios creativos;Empresa;Data science;#737daa
14;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
15;RM;Contenidos creativos;Profesional indep.;Data science;#737daa
15;RM;Contenidos creativos;Profesional indep.;Nuevos medios;#070708
15;RM;Contenidos creativos;Profesional indep.;Wearables;#74746c
16;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
16;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
17;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
17;RM;Bienes creativos;Empresa;Fintech;#544c7c
18;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
