v362_id;region;tipo_empresa;cadena_productiva;agrupacion_tecnocreativa;genero;asociatividad;vinculos_educativos;tamano_empresa_num_trab;rango_ventas;exportaciones;exportaciones_porc_ingreso;internacionalizacion;mercados_intern;color_genero;color_tipo_empresa;color_cadena_productiva;color_agrupacion_tecnocreativa;color_asociatividad;color_vinculos_educativos;color_tamano_empresa_num_trab;color_rango_ventas;color_exportaciones;color_exportaciones_porc_ingreso;color_internacionalizacion
103;Valparaíso;Profesional indep.;Contenidos creativos;Nuevos medios;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#705abb;#544c7c;#705abb;#9a7cbb;#62cca5;#62cca5;#705abb;#070708;#62cca5;#070708;#705abb
113;Valparaíso;Empresa;Bienes creativos;Servicios creativos;Hombre;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;61-80%;Sí, en uno;USA;#62cca5;#74746c;#070708;#cbd2d3;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#737daa;#737daa
114;Valparaíso;Empresa;Servicios creativos;Servicios creativos;Mujer;Sí;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#737daa;#cbd2d3;#62cca5;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
117;Valparaíso;Profesional indep.;Servicios creativos;Servicios creativos;Hombre;No;No;0;Entre 50.000 y 100.000 USD;Sí;81-100%;Sí, en uno;Canada;#62cca5;#544c7c;#737daa;#cbd2d3;#737daa;#737daa;#070708;#9a7cbb;#62cca5;#cbd2d3;#737daa
120;Valparaíso;Empresa;Bienes creativos;Servicios creativos;Hombre;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;Usa;#62cca5;#74746c;#070708;#cbd2d3;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#070708;#070708
126;Valparaíso;Empresa;Bienes creativos;Servicios creativos;Otro;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;41-60%;Sí, en más de uno;Festivales : Cannes Inmersive/ Dok Leipzig / IDFA / FIDBA;#e4e2d4;#74746c;#070708;#cbd2d3;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#9a7cbb;#cbd2d3
129;Valparaíso;Profesional indep.;Bienes creativos;Servicios creativos;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#070708;#cbd2d3;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
131;Valparaíso;Empresa;Servicios creativos;Servicios creativos;Hombre;Sí;Sí;11-50;Más de 100.000 USD;Sí;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#cbd2d3;#62cca5;#62cca5;#737daa;#737daa;#62cca5;#070708;#9a7cbb
135;Valparaíso;Empresa;Servicios creativos;Servicios creativos;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#737daa;#cbd2d3;#62cca5;#62cca5;#705abb;#070708;#62cca5;#070708;#070708
141;Valparaíso;Profesional indep.;;;Hombre;;;;;;NA%;;;#62cca5;#544c7c;;;;;;;;;
