v362_id;region;tipo_empresa;cadena_productiva;agrupacion_tecnocreativa;genero;asociatividad;vinculos_educativos;tamano_empresa_num_trab;rango_ventas;exportaciones;exportaciones_porc_ingreso;internacionalizacion;mercados_intern;color_genero;color_tipo_empresa;color_cadena_productiva;color_agrupacion_tecnocreativa;color_asociatividad;color_vinculos_educativos;color_tamano_empresa_num_trab;color_rango_ventas;color_exportaciones;color_exportaciones_porc_ingreso;color_internacionalizacion
125;RM;Empresa;Servicios creativos;Servicios creativos;Hombre;No;No;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#737daa;#cbd2d3;#737daa;#737daa;#705abb;#705abb;#62cca5;#070708;#070708
127;RM;Empresa;Experiencias creativas;Servicios creativos;Mujer;No;Sí;11-50;Menos de 10.000 USD;No;0-20%;Sí, en más de uno;India, Suiza, Jordania, Colombia, Europa;#705abb;#74746c;#9a7cbb;#cbd2d3;#737daa;#62cca5;#737daa;#070708;#737daa;#070708;#cbd2d3
128;RM;Empresa;Contenidos creativos;Servicios creativos;Hombre;No;Sí;11-50;Más de 100.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#cbd2d3;#737daa;#62cca5;#737daa;#737daa;#737daa;#070708;#9a7cbb
130;RM;Profesional indep.;Contenidos creativos;Servicios creativos;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#cbd2d3;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
132;RM;Empresa;Bienes creativos;Servicios creativos;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#070708;#cbd2d3;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
133;RM;Empresa;Servicios creativos;Servicios creativos;Hombre;Sí;Sí;6-10;Más de 100.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#737daa;#cbd2d3;#62cca5;#62cca5;#9a7cbb;#737daa;#737daa;#070708;#070708
136;RM;Empresa;Contenidos creativos;Servicios creativos;Hombre;No;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#705abb;#cbd2d3;#737daa;#62cca5;#705abb;#070708;#62cca5;#070708;#070708
139;RM;Profesional indep.;Contenidos creativos;Wearables;Hombre;No;Sí;11-50;Entre 50.000 y 100.000 USD;Sí;21-40%;No y no está en los planes actuales;Alemania, Estados Unidos, Serbia y Nueva Zelandia;#62cca5;#544c7c;#705abb;#74746c;#737daa;#62cca5;#737daa;#9a7cbb;#62cca5;#705abb;#9a7cbb
140;RM;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
142;RM;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
143;RM;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
144;RM;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
147;RM;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
149;RM;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
153;RM;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
154;RM;Profesional indep.;;;Hombre;;;;;;NA%;;;#62cca5;#544c7c;;;;;;;;;
67;O'Higgins;Empresa;Bienes creativos;Juegos interactivos;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;Sí;61-80%;No y no está en los planes actuales;;#705abb;#74746c;#070708;#b7b7af;#62cca5;#62cca5;#705abb;#070708;#62cca5;#737daa;#9a7cbb
77;O'Higgins;Profesional indep.;Servicios creativos;Ninguna de las anteriores;Mujer;;;1-5;;;NA%;;;#705abb;#544c7c;#737daa;#e4e2d4;;;#705abb;;;;
148;O'Higgins;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
43;Maule;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;No;No;1-5;Menos de 10.000 USD;Sí;0-20%;Sí, en más de uno;Ventana Sur, Pixlatl, Quirino;#62cca5;#74746c;#705abb;#62cca5;#737daa;#737daa;#705abb;#070708;#62cca5;#070708;#cbd2d3
70;Maule;Empresa;Experiencias creativas;Música;Hombre;No;Sí;6-10;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#705abb;#737daa;#62cca5;#9a7cbb;#070708;#62cca5;#070708;#070708
1;Bío-Bío;Empresa;Bienes creativos;Computación o programación creativa;Mujer;;;;;;NA%;;;#705abb;#74746c;#070708;#a5a29a;;;;;;;
6;Bío-Bío;Empresa;Contenidos creativos;Computación o programación creativa;Hombre;No;Sí;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#705abb;#a5a29a;#737daa;#62cca5;#705abb;#705abb;#737daa;#070708;#070708
41;Bío-Bío;Profesional indep.;Experiencias creativas;Cultura y entretenimiento;Otro;Sí;No;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#e4e2d4;#544c7c;#9a7cbb;#62cca5;#62cca5;#737daa;#705abb;#070708;#62cca5;#070708;#070708
61;Bío-Bío;Empresa;Servicios creativos;Juegos interactivos;Hombre;No;Sí;6-10;Entre 50.000 y 100.000 USD;Sí;0-20%;Sí, en uno;USA;#62cca5;#74746c;#737daa;#b7b7af;#737daa;#62cca5;#9a7cbb;#9a7cbb;#62cca5;#070708;#737daa
108;Bío-Bío;Profesional indep.;Contenidos creativos;Servicios creativos;Hombre;;;0;;;NA%;;;#62cca5;#544c7c;#705abb;#cbd2d3;;;#070708;;;;
111;Bío-Bío;Empresa;Bienes creativos;Servicios creativos;Hombre;No;No;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#070708;#cbd2d3;#737daa;#737daa;#705abb;#705abb;#737daa;#070708;#070708
115;Bío-Bío;Empresa;Servicios creativos;Servicios creativos;Mujer;No;No;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#737daa;#cbd2d3;#737daa;#737daa;#705abb;#705abb;#737daa;#070708;#9a7cbb
118;Bío-Bío;Empresa;Bienes creativos;Servicios creativos;Hombre;No;No;1-5;Entre 50.000 y 100.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#070708;#cbd2d3;#737daa;#737daa;#705abb;#9a7cbb;#737daa;#070708;#9a7cbb
137;Bío-Bío;Empresa;Bienes creativos;Servicios creativos;Mujer;No;Sí;11-50;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;;#705abb;#74746c;#070708;#cbd2d3;#737daa;#62cca5;#737daa;#737daa;#62cca5;#070708;#cbd2d3
27;La Araucanía;Profesional indep.;Contenidos creativos;Contenido para redes sociales;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#070708;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
37;La Araucanía;Empresa;Experiencias creativas;Cultura y entretenimiento;Hombre;Sí;Sí;6-10;Entre 10.000 y 50.000 USD;No;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#62cca5;#74746c;#9a7cbb;#62cca5;#62cca5;#62cca5;#9a7cbb;#705abb;#737daa;#070708;#705abb
40;La Araucanía;Profesional indep.;Contenidos creativos;Cultura y entretenimiento;Hombre;No;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#705abb;#62cca5;#737daa;#62cca5;#705abb;#070708;#62cca5;#070708;#070708
44;La Araucanía;Profesional indep.;Contenidos creativos;Cultura y entretenimiento;Mujer;No;No;0;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#544c7c;#705abb;#62cca5;#737daa;#737daa;#070708;#070708;#737daa;#070708;#070708
66;La Araucanía;Empresa;Bienes creativos;Juegos interactivos;Mujer;No;Sí;6-10;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#070708;#b7b7af;#737daa;#62cca5;#9a7cbb;#070708;#737daa;#070708;#9a7cbb
81;La Araucanía;Profesional indep.;Bienes creativos;Ninguna de las anteriores;Hombre;No;No;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#070708;#e4e2d4;#737daa;#737daa;#705abb;#070708;#62cca5;#070708;#070708
116;La Araucanía;Profesional indep.;Servicios creativos;Servicios creativos;Mujer;Sí;Sí;0;Menos de 10.000 USD;No;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#705abb;#544c7c;#737daa;#cbd2d3;#62cca5;#62cca5;#070708;#070708;#737daa;#070708;#705abb
121;La Araucanía;Profesional indep.;Experiencias creativas;Servicios creativos;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#544c7c;#9a7cbb;#cbd2d3;#62cca5;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
156;La Araucanía;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
39;Los Ríos;Empresa;Experiencias creativas;Cultura y entretenimiento;Hombre;Sí;No;1-5;Entre 50.000 y 100.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#62cca5;#62cca5;#737daa;#705abb;#9a7cbb;#737daa;#070708;#070708
75;Los Ríos;Empresa;Bienes creativos;Ninguna de las anteriores;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#070708;#e4e2d4;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
82;Los Ríos;Empresa;Bienes creativos;Ninguna de las anteriores;Mujer;Sí;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#74746c;#070708;#e4e2d4;#62cca5;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
146;Los Ríos;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
134;Los Lagos;Empresa;Experiencias creativas;Servicios creativos;Hombre;Sí;No;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#cbd2d3;#62cca5;#737daa;#705abb;#705abb;#737daa;#070708;#070708
4;Aysén;Empresa;Bienes creativos;Computación o programación creativa;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#070708;#a5a29a;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
51;Aysén;Empresa;Bienes creativos;Cultura y entretenimiento;Hombre;Sí;No;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#070708;#62cca5;#62cca5;#737daa;#705abb;#705abb;#62cca5;#070708;#070708
95;Aysén;Empresa;Servicios creativos;Nuevos medios;Hombre;Sí;Sí;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;En ninguno, aún.;#62cca5;#74746c;#737daa;#9a7cbb;#62cca5;#62cca5;#705abb;#070708;#737daa;#070708;#070708
123;Aysén;Empresa;Bienes creativos;Servicios creativos;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#070708;#cbd2d3;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
10;Magallanes;Empresa;Contenidos creativos;Computación o programación creativa;Hombre;Sí;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#a5a29a;#62cca5;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
59;Magallanes;Empresa;Servicios creativos;Fintech;Hombre;No;No;1-5;Entre 10.000 y 50.000 USD;No;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#62cca5;#74746c;#737daa;#544c7c;#737daa;#737daa;#705abb;#705abb;#737daa;#070708;#705abb
79;Magallanes;Empresa;Bienes creativos;Ninguna de las anteriores;Mujer;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#070708;#e4e2d4;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#070708
91;Magallanes;Empresa;Bienes creativos;Nuevos medios;Hombre;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;Sí, en uno;Alemania;#62cca5;#74746c;#070708;#9a7cbb;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#070708;#737daa
9;Extranjero;Profesional indep.;Servicios creativos;Computación o programación creativa;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#737daa;#a5a29a;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
31;Extranjero;Profesional indep.;Experiencias creativas;Cultura y entretenimiento;Hombre;No;No;1-5;Entre 50.000 y 100.000 USD;Sí;21-40%;Sí, pero aún no se han concretado operaciones internacionales;Europa del Este;#62cca5;#544c7c;#9a7cbb;#62cca5;#737daa;#737daa;#705abb;#9a7cbb;#62cca5;#705abb;#705abb
57;Extranjero;Profesional indep.;Contenidos creativos;Editorial (medios digitales);Hombre;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;41-60%;Sí, en más de uno;10+ en 2024;#62cca5;#544c7c;#705abb;#737daa;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#9a7cbb;#cbd2d3
145;Extranjero;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
155;Extranjero;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
