v362_id;region;cadena_productiva;tipo_empresa;financiamiento;color_financiamiento
62;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
63;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
63;RM;Contenidos creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
63;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
64;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
64;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
65;RM;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
78;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
80;RM;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
83;RM;Bienes creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
85;RM;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
86;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
86;RM;Servicios creativos;Empresa;Asociaciones con otros negocios;#e4e2d4
87;RM;Experiencias creativas;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
88;RM;Contenidos creativos;Empresa;Crowdfunding;#b7b7af
88;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
89;RM;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
90;RM;Experiencias creativas;Profesional indep.;Crowdfunding;#b7b7af
90;RM;Experiencias creativas;Profesional indep.;Fondos públicos;#9a7cbb
93;RM;Experiencias creativas;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
94;RM;Servicios creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
96;RM;Experiencias creativas;Empresa;Agro-Tech;#544c7c
96;RM;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
96;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
98;RM;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
98;RM;Experiencias creativas;Profesional indep.;Fondos públicos;#9a7cbb
99;RM;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
99;RM;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
100;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
101;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
102;RM;Experiencias creativas;Empresa;Asociaciones con otros negocios;#e4e2d4
