v362_id;region;cadena_productiva;tipo_empresa;interaccion;color_interaccion
41;Bío-Bío;Experiencias creativas;Profesional indep.;Innovación;#9a7cbb
41;Bío-Bío;Experiencias creativas;Profesional indep.;Medioambiente y desastres naturales;#070708
61;Bío-Bío;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
61;Bío-Bío;Servicios creativos;Empresa;Innovación;#9a7cbb
111;Bío-Bío;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
111;Bío-Bío;Bienes creativos;Empresa;Innovación;#9a7cbb
115;Bío-Bío;Servicios creativos;Empresa;Agro-Tech;#e4e2d4
115;Bío-Bío;Servicios creativos;Empresa;Comunicaciones;#737daa
115;Bío-Bío;Servicios creativos;Empresa;Energía renovable;#546c74
115;Bío-Bío;Servicios creativos;Empresa;Innovación;#9a7cbb
115;Bío-Bío;Servicios creativos;Empresa;Inversión social;#96a5c3
115;Bío-Bío;Servicios creativos;Empresa;Turismo;#e4e2d4
115;Bío-Bío;Servicios creativos;Empresa;Otros;#a5a29a
118;Bío-Bío;Bienes creativos;Empresa;Agro-Tech;#e4e2d4
118;Bío-Bío;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
118;Bío-Bío;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
118;Bío-Bío;Bienes creativos;Empresa;Educación;#705abb
118;Bío-Bío;Bienes creativos;Empresa;Retail;#544c7c
118;Bío-Bío;Bienes creativos;Empresa;Salud;#b7b7af
118;Bío-Bío;Bienes creativos;Empresa;Otros;#a5a29a
118;Bío-Bío;Bienes creativos;Empresa;Turismo;#e4e2d4
137;Bío-Bío;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
137;Bío-Bío;Bienes creativos;Empresa;Comunicaciones;#737daa
137;Bío-Bío;Bienes creativos;Empresa;Educación;#705abb
27;La Araucanía;Contenidos creativos;Profesional indep.;Ciencia y tecnología;#62cca5
27;La Araucanía;Contenidos creativos;Profesional indep.;Educación;#705abb
37;La Araucanía;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
37;La Araucanía;Experiencias creativas;Empresa;Comunicaciones;#737daa
37;La Araucanía;Experiencias creativas;Empresa;Educación;#705abb
37;La Araucanía;Experiencias creativas;Empresa;Innovación;#9a7cbb
37;La Araucanía;Experiencias creativas;Empresa;Medioambiente y desastres naturales;#070708
37;La Araucanía;Experiencias creativas;Empresa;Salud;#b7b7af
37;La Araucanía;Experiencias creativas;Empresa;Otros;#a5a29a
37;La Araucanía;Experiencias creativas;Empresa;Turismo;#e4e2d4
40;La Araucanía;Contenidos creativos;Profesional indep.;Ciencia y tecnología;#62cca5
40;La Araucanía;Contenidos creativos;Profesional indep.;Comunicaciones;#737daa
40;La Araucanía;Contenidos creativos;Profesional indep.;Educación;#705abb
40;La Araucanía;Contenidos creativos;Profesional indep.;Innovación;#9a7cbb
40;La Araucanía;Contenidos creativos;Profesional indep.;Turismo;#e4e2d4
44;La Araucanía;Contenidos creativos;Profesional indep.;Construcción y desarrollo urbano;#96a5c3
44;La Araucanía;Contenidos creativos;Profesional indep.;Innovación;#9a7cbb
66;La Araucanía;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
66;La Araucanía;Bienes creativos;Empresa;Educación;#705abb
66;La Araucanía;Bienes creativos;Empresa;Energía renovable;#546c74
66;La Araucanía;Bienes creativos;Empresa;Innovación;#9a7cbb
66;La Araucanía;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
66;La Araucanía;Bienes creativos;Empresa;Turismo;#e4e2d4
81;La Araucanía;Bienes creativos;Profesional indep.;Ciencia y tecnología;#62cca5
81;La Araucanía;Bienes creativos;Profesional indep.;Educación;#705abb
81;La Araucanía;Bienes creativos;Profesional indep.;Innovación;#9a7cbb
