v362_id;region;cadena_productiva;tipo_empresa;tecnologias;nivel_adopcion;color_tecnologias
113;Valparaíso;Bienes creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
113;Valparaíso;Bienes creativos;Empresa;impresion_3d;INNOVADOR;#705abb
113;Valparaíso;Bienes creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
113;Valparaíso;Bienes creativos;Empresa;Otros;INNOVADOR;#a5a29a
113;Valparaíso;Bienes creativos;Empresa;mocap_motion_capture;INNOVADOR;#737daa
113;Valparaíso;Bienes creativos;Empresa;Otros;INNOVADOR;#a5a29a
113;Valparaíso;Bienes creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
113;Valparaíso;Bienes creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
113;Valparaíso;Bienes creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
113;Valparaíso;Bienes creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
113;Valparaíso;Bienes creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
113;Valparaíso;Bienes creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
113;Valparaíso;Bienes creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
114;Valparaíso;Servicios creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
117;Valparaíso;Servicios creativos;Profesional indep.;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
117;Valparaíso;Servicios creativos;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
117;Valparaíso;Servicios creativos;Profesional indep.;mocap_motion_capture;EARLY ADOPTER;#737daa
117;Valparaíso;Servicios creativos;Profesional indep.;software_de_3d;EARLY ADOPTER;#b7b7af
117;Valparaíso;Servicios creativos;Profesional indep.;vfx_visual_effects;EARLY ADOPTER;#546c74
120;Valparaíso;Bienes creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
120;Valparaíso;Bienes creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
120;Valparaíso;Bienes creativos;Empresa;realidad_virtual_vr;LENTO ADOPTANTE;#544c7c
126;Valparaíso;Bienes creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
126;Valparaíso;Bienes creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
126;Valparaíso;Bienes creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
126;Valparaíso;Bienes creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
126;Valparaíso;Bienes creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
131;Valparaíso;Servicios creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
131;Valparaíso;Servicios creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
131;Valparaíso;Servicios creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
131;Valparaíso;Servicios creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
131;Valparaíso;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
135;Valparaíso;Servicios creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
135;Valparaíso;Servicios creativos;Empresa;software_especializado;LENTO ADOPTANTE;#96a5c3
135;Valparaíso;Servicios creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
2;RM;Servicios creativos;Profesional indep.;creacion_de_entornos_virtuales;LENTO ADOPTANTE;#62cca5
2;RM;Servicios creativos;Profesional indep.;Otros;LENTO ADOPTANTE;#a5a29a
2;RM;Servicios creativos;Profesional indep.;impresion_3d;LENTO ADOPTANTE;#705abb
2;RM;Servicios creativos;Profesional indep.;realidad_aumentada_ar;LENTO ADOPTANTE;#e4e2d4
2;RM;Servicios creativos;Profesional indep.;realidad_virtual_vr;LENTO ADOPTANTE;#544c7c
2;RM;Servicios creativos;Profesional indep.;software_de_3d;LENTO ADOPTANTE;#b7b7af
2;RM;Servicios creativos;Profesional indep.;software_especializado;LENTO ADOPTANTE;#96a5c3
2;RM;Servicios creativos;Profesional indep.;vfx_visual_effects;LENTO ADOPTANTE;#546c74
3;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
3;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
3;RM;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
3;RM;Servicios creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
5;RM;Contenidos creativos;Profesional indep.;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
5;RM;Contenidos creativos;Profesional indep.;Otros;LENTO ADOPTANTE;#a5a29a
5;RM;Contenidos creativos;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
5;RM;Contenidos creativos;Profesional indep.;mocap_motion_capture;EARLY ADOPTER;#737daa
5;RM;Contenidos creativos;Profesional indep.;realidad_aumentada_ar;INNOVADOR;#e4e2d4
5;RM;Contenidos creativos;Profesional indep.;realidad_virtual_vr;INNOVADOR;#544c7c
5;RM;Contenidos creativos;Profesional indep.;Otros;LENTO ADOPTANTE;#a5a29a
5;RM;Contenidos creativos;Profesional indep.;software_de_3d;EARLY ADOPTER;#b7b7af
5;RM;Contenidos creativos;Profesional indep.;software_especializado;EARLY ADOPTER;#96a5c3
7;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
7;RM;Servicios creativos;Empresa;Otros;LENTO ADOPTANTE;#a5a29a
7;RM;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
13;RM;Servicios creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
13;RM;Servicios creativos;Empresa;impresion_3d;INNOVADOR;#705abb
13;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
13;RM;Servicios creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
13;RM;Servicios creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
14;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
14;RM;Servicios creativos;Empresa;Otros;INNOVADOR;#a5a29a
14;RM;Servicios creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
15;RM;Contenidos creativos;Profesional indep.;impresion_3d;EARLY ADOPTER;#705abb
15;RM;Contenidos creativos;Profesional indep.;Otros;EARLY ADOPTER;#a5a29a
15;RM;Contenidos creativos;Profesional indep.;Otros;INNOVADOR;#a5a29a
16;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
16;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
16;RM;Contenidos creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
16;RM;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
16;RM;Contenidos creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
16;RM;Contenidos creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
17;RM;Bienes creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
18;RM;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
18;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
18;RM;Servicios creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
18;RM;Servicios creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
18;RM;Servicios creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
19;RM;Servicios creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
19;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
19;RM;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
19;RM;Servicios creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
19;RM;Servicios creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
19;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
24;RM;Bienes creativos;Profesional indep.;software_especializado;LENTO ADOPTANTE;#96a5c3
25;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
25;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
25;RM;Contenidos creativos;Empresa;software_de_3d;LENTO ADOPTANTE;#b7b7af
25;RM;Contenidos creativos;Empresa;vfx_visual_effects;LENTO ADOPTANTE;#546c74
25;RM;Contenidos creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
26;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
26;RM;Contenidos creativos;Empresa;mocap_motion_capture;INNOVADOR;#737daa
26;RM;Contenidos creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
26;RM;Contenidos creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
26;RM;Contenidos creativos;Empresa;vfx_visual_effects;INNOVADOR;#546c74
26;RM;Contenidos creativos;Empresa;Otros;INNOVADOR;#a5a29a
28;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
28;RM;Contenidos creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
29;RM;Servicios creativos;Empresa;mocap_motion_capture;INNOVADOR;#737daa
29;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
29;RM;Servicios creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
29;RM;Servicios creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
33;RM;Servicios creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
33;RM;Servicios creativos;Empresa;impresion_3d;EARLY ADOPTER;#705abb
33;RM;Servicios creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
33;RM;Servicios creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
