v362_id;region;cadena_productiva;tipo_empresa;herramientas_diferenciacion;color_herramientas_diferenciacion
39;Los Ríos;Experiencias creativas;Empresa;Ninguna de las anteriores;#737daa
75;Los Ríos;Bienes creativos;Empresa;Otros;#e4e2d4
82;Los Ríos;Bienes creativos;Empresa;Otros;#e4e2d4
134;Los Lagos;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
4;Aysén;Bienes creativos;Empresa;Ninguna de las anteriores;#737daa
51;Aysén;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
51;Aysén;Bienes creativos;Empresa;Licenciamiento;#9a7cbb
51;Aysén;Bienes creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
95;Aysén;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
123;Aysén;Bienes creativos;Empresa;Otros;#e4e2d4
10;Magallanes;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
59;Magallanes;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
59;Magallanes;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
59;Magallanes;Servicios creativos;Empresa;Otros;#e4e2d4
79;Magallanes;Bienes creativos;Empresa;Otros;#e4e2d4
91;Magallanes;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
91;Magallanes;Bienes creativos;Empresa;Licenciamiento;#9a7cbb
91;Magallanes;Bienes creativos;Empresa;Franquicias;#705abb
91;Magallanes;Bienes creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
91;Magallanes;Bienes creativos;Empresa;Otros;#e4e2d4
9;Extranjero;Servicios creativos;Profesional indep.;Ninguna de las anteriores;#737daa
31;Extranjero;Experiencias creativas;Profesional indep.;Registro de propiedad intelectual;#544c7c
31;Extranjero;Experiencias creativas;Profesional indep.;Licenciamiento;#9a7cbb
31;Extranjero;Experiencias creativas;Profesional indep.;Franquicias;#705abb
31;Extranjero;Experiencias creativas;Profesional indep.;Gestión de precios de contenidos creativos;#62cca5
57;Extranjero;Contenidos creativos;Profesional indep.;Registro de propiedad intelectual;#544c7c
